cell,batch
Cell_0,Batch_0
Cell_1,Batch_0
Cell_2,Batch_0
Cell_3,Batch_0
Cell_4,Batch_0
Cell_5,Batch_0
Cell_6,Batch_0
Cell_7,Batch_0
Cell_8,Batch_0
Cell_9,Batch_0
Cell_10,Batch_6
Cell_11,Batch_6
Cell_12,Batch_6
Cell_13,Batch_6
Cell_14,Batch_6
Cell_15,Batch_6
Cell_16,Batch_6
Cell_17,Batch_6
Cell_18,Batch_6
Cell_19,Batch_5
Cell_20,Batch_5
Cell_21,Batch_5
Cell_22,Batch_5
Cell_23,Batch_5
Cell_24,Batch_5
Cell_25,Batch_5
Cell_26,Batch_5
Cell_27,Batch_5
Cell_28,Batch_5
Cell_29,Batch_3
Cell_30,Batch_4
Cell_31,Batch_4
Cell_32,Batch_4
Cell_33,Batch_4
Cell_34,Batch_4
Cell_35,Batch_4
Cell_36,Batch_4
Cell_37,Batch_4
Cell_38,Batch_5
Cell_39,Batch_5
Cell_40,Batch_5
Cell_41,Batch_5
Cell_42,Batch_5
Cell_43,Batch_5
Cell_44,Batch_5
Cell_45,Batch_1
Cell_46,Batch_1
Cell_47,Batch_1
Cell_48,Batch_1
Cell_49,Batch_1
Cell_50,Batch_1
Cell_51,Batch_1
Cell_52,Batch_1
Cell_53,Batch_1
Cell_54,Batch_1
Cell_55,Batch_1
Cell_56,Batch_1
Cell_57,Batch_1
Cell_58,Batch_1
Cell_59,Batch_1
Cell_60,Batch_1
Cell_61,Batch_1
Cell_62,Batch_1
Cell_63,Batch_1
Cell_64,Batch_1
Cell_65,Batch_1
Cell_66,Batch_2
Cell_67,Batch_2
Cell_68,Batch_2
Cell_69,Batch_2
Cell_70,Batch_2
Cell_71,Batch_2
Cell_72,Batch_2
Cell_73,Batch_3
Cell_74,Batch_3
Cell_75,Batch_3
Cell_76,Batch_3
Cell_77,Batch_3
Cell_78,Batch_3
Cell_79,Batch_3
Cell_80,Batch_3
Cell_81,Batch_3
Cell_82,Batch_3
Cell_83,Batch_3
Cell_84,Batch_3
Cell_85,Batch_3
Cell_86,Batch_3
Cell_87,Batch_3
Cell_88,Batch_3
Cell_89,Batch_3
Cell_90,Batch_3
Cell_91,Batch_3
Cell_92,Batch_3
Cell_93,Batch_3
Cell_94,Batch_4
Cell_95,Batch_4
Cell_96,Batch_4
Cell_97,Batch_6
Cell_98,Batch_6
Cell_99,Batch_6
Cell_100,Batch_6
Cell_101,Batch_6
Cell_102,Batch_6
Cell_103,Batch_6
Cell_104,Batch_6
Cell_105,Batch_0
Cell_106,Batch_1
Cell_107,Batch_1
Cell_108,Batch_1
Cell_109,Batch_1
Cell_110,Batch_1
Cell_111,Batch_1
Cell_112,Batch_1
Cell_113,Batch_1
Cell_114,Batch_1
Cell_115,Batch_1
Cell_116,Batch_1
Cell_117,Batch_1
Cell_118,Batch_1
Cell_119,Batch_9
Cell_120,Batch_9
Cell_121,Batch_9
Cell_122,Batch_9
Cell_123,Batch_9
Cell_124,Batch_9
Cell_125,Batch_7
Cell_126,Batch_7
Cell_127,Batch_7
Cell_128,Batch_7
Cell_129,Batch_7
Cell_130,Batch_7
Cell_131,Batch_7
Cell_132,Batch_7
Cell_133,Batch_7
Cell_134,Batch_7
Cell_135,Batch_7
Cell_136,Batch_8
Cell_137,Batch_8
Cell_138,Batch_8
Cell_139,Batch_8
Cell_140,Batch_8
Cell_141,Batch_8
Cell_142,Batch_8
Cell_143,Batch_8
Cell_144,Batch_8
Cell_145,Batch_8
Cell_146,Batch_8
Cell_147,Batch_8
Cell_148,Batch_10
Cell_149,Batch_10
Cell_150,Batch_10
Cell_151,Batch_10
Cell_152,Batch_10
Cell_153,Batch_10
Cell_154,Batch_10
Cell_155,Batch_10
Cell_156,Batch_10
Cell_157,Batch_10
Cell_158,Batch_10
Cell_159,Batch_10
Cell_160,Batch_10
Cell_161,Batch_10
Cell_162,Batch_10
Cell_163,Batch_10
Cell_164,Batch_10
Cell_165,Batch_10
Cell_166,Batch_10
Cell_167,Batch_10
Cell_168,Batch_10
Cell_169,Batch_10
Cell_170,Batch_10
Cell_171,Batch_10
Cell_172,Batch_10
Cell_173,Batch_10
Cell_174,Batch_10
Cell_175,Batch_10
Cell_176,Batch_10
Cell_177,Batch_10
Cell_178,Batch_10
Cell_179,Batch_10
Cell_180,Batch_10
Cell_181,Batch_10
Cell_182,Batch_10
Cell_183,Batch_10
Cell_184,Batch_10
Cell_185,Batch_10
Cell_186,Batch_10
Cell_187,Batch_10
Cell_188,Batch_10
Cell_189,Batch_10
Cell_190,Batch_10
Cell_191,Batch_10
Cell_192,Batch_10
Cell_193,Batch_10
Cell_194,Batch_10
Cell_195,Batch_10
Cell_196,Batch_10
Cell_197,Batch_10
Cell_198,Batch_10
Cell_199,Batch_10
Cell_200,Batch_10
Cell_201,Batch_8
Cell_202,Batch_8
Cell_203,Batch_8
Cell_204,Batch_8
Cell_205,Batch_8
Cell_206,Batch_8
Cell_207,Batch_8
Cell_208,Batch_8
Cell_209,Batch_8
Cell_210,Batch_8
Cell_211,Batch_8
Cell_212,Batch_8
Cell_213,Batch_8
Cell_214,Batch_8
Cell_215,Batch_8
Cell_216,Batch_8
Cell_217,Batch_8
Cell_218,Batch_8
Cell_219,Batch_8
Cell_220,Batch_8
Cell_221,Batch_8
Cell_222,Batch_8
Cell_223,Batch_8
Cell_224,Batch_8
Cell_225,Batch_8
Cell_226,Batch_8
Cell_227,Batch_11
Cell_228,Batch_11
Cell_229,Batch_11
Cell_230,Batch_11
Cell_231,Batch_11
Cell_232,Batch_11
Cell_233,Batch_11
Cell_234,Batch_11
Cell_235,Batch_11
Cell_236,Batch_11
Cell_237,Batch_11
Cell_238,Batch_11
Cell_239,Batch_11
Cell_240,Batch_11
Cell_241,Batch_11
Cell_242,Batch_11
Cell_243,Batch_11
Cell_244,Batch_11
Cell_245,Batch_11
Cell_246,Batch_11
Cell_247,Batch_11
Cell_248,Batch_11
Cell_249,Batch_11
Cell_250,Batch_11
Cell_251,Batch_11
Cell_252,Batch_11
Cell_253,Batch_11
Cell_254,Batch_11
Cell_255,Batch_11
Cell_256,Batch_11
Cell_257,Batch_11
Cell_258,Batch_11
Cell_259,Batch_11
Cell_260,Batch_11
Cell_261,Batch_11
Cell_262,Batch_11
Cell_263,Batch_11
Cell_264,Batch_11
Cell_265,Batch_11
Cell_266,Batch_11
Cell_267,Batch_11
Cell_268,Batch_11
Cell_269,Batch_11
Cell_270,Batch_11
Cell_271,Batch_11
Cell_272,Batch_11
Cell_273,Batch_11
Cell_274,Batch_11
Cell_275,Batch_11
Cell_276,Batch_11
Cell_277,Batch_11
Cell_278,Batch_11
Cell_279,Batch_11
Cell_280,Batch_11
Cell_281,Batch_11
Cell_282,Batch_11
Cell_283,Batch_11
Cell_284,Batch_11
Cell_285,Batch_11
Cell_286,Batch_11
Cell_287,Batch_11
Cell_288,Batch_11
Cell_289,Batch_11
Cell_290,Batch_11
Cell_291,Batch_11
Cell_292,Batch_11
Cell_293,Batch_11
Cell_294,Batch_11
Cell_295,Batch_11
Cell_296,Batch_11
Cell_297,Batch_11
Cell_298,Batch_11
Cell_299,Batch_11
Cell_300,Batch_11
Cell_301,Batch_11
Cell_302,Batch_11
Cell_303,Batch_11
Cell_304,Batch_11
Cell_305,Batch_11
Cell_306,Batch_11
Cell_307,Batch_11
Cell_308,Batch_11
Cell_309,Batch_11
Cell_310,Batch_11
Cell_311,Batch_11
Cell_312,Batch_11
Cell_313,Batch_11
Cell_314,Batch_11
Cell_315,Batch_11
Cell_316,Batch_11
Cell_317,Batch_11
Cell_318,Batch_11
Cell_319,Batch_11
Cell_320,Batch_11
Cell_321,Batch_11
Cell_322,Batch_11
Cell_323,Batch_11
Cell_324,Batch_11
Cell_325,Batch_11
Cell_326,Batch_11
Cell_327,Batch_11
Cell_328,Batch_11
Cell_329,Batch_11
Cell_330,Batch_11
Cell_331,Batch_11
Cell_332,Batch_11
Cell_333,Batch_11
Cell_334,Batch_11
Cell_335,Batch_11
Cell_336,Batch_11
Cell_337,Batch_11
Cell_338,Batch_11
Cell_339,Batch_11
Cell_340,Batch_11
Cell_341,Batch_11
Cell_342,Batch_11
Cell_343,Batch_11
Cell_344,Batch_11
Cell_345,Batch_11
Cell_346,Batch_11
Cell_347,Batch_11
Cell_348,Batch_11
Cell_349,Batch_11
Cell_350,Batch_11
Cell_351,Batch_11
Cell_352,Batch_11
Cell_353,Batch_11
Cell_354,Batch_11
Cell_355,Batch_11
Cell_356,Batch_11
Cell_357,Batch_11
Cell_358,Batch_11
Cell_359,Batch_11
Cell_360,Batch_11
Cell_361,Batch_11
